party_id,booking_code,booking_period,invoice_number,invoice_date,due_date,closed_date,remark,currency,amount,tax_amount,company_id,ledger
11480,,2018-08,90525,2018-06-03 00:00:00,2018-07-03 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90526,2018-06-04 00:00:00,2018-07-04 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90527,2018-06-05 00:00:00,2018-07-05 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90528,2018-06-06 00:00:00,2018-07-06 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90529,2018-06-07 00:00:00,2018-07-07 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90530,2018-06-08 00:00:00,2018-07-08 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90531,2018-06-09 00:00:00,2018-07-09 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90532,2018-06-10 00:00:00,2018-07-10 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90533,2018-06-11 00:00:00,2018-07-11 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-08,90534,2018-06-12 00:00:00,2018-07-12 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-08,90535,2018-06-13 00:00:00,2018-07-13 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-08,90536,2018-06-14 00:00:00,2018-07-14 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90537,2018-07-02 00:00:00,2018-08-01 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-09,90538,2018-07-03 00:00:00,2018-08-02 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-09,90539,2018-07-04 00:00:00,2018-08-03 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-09,90540,2018-07-05 00:00:00,2018-08-04 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90541,2018-07-06 00:00:00,2018-08-05 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90542,2018-07-07 00:00:00,2018-08-06 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90543,2018-07-08 00:00:00,2018-08-07 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90544,2018-07-09 00:00:00,2018-08-08 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90545,2018-07-10 00:00:00,2018-08-09 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90546,2018-07-11 00:00:00,2018-08-10 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90547,2018-07-12 00:00:00,2018-08-11 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90548,2018-07-13 00:00:00,2018-08-12 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90549,2018-07-14 00:00:00,2018-08-13 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-07,90550,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,3412.539,0,999,P
11480,,2018-07,90551,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,9247.9842,0,999,P
11480,,2018-08,90552,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90553,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90554,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90555,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90556,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90557,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
